70.8942 -8.7936 6.82
70.8962 -8.7961 6.7
71.0221 -8.5036 5.9
71.3754 -3.2547 4.02
71.6004 -2.9544 6.33
72.1858 3.5883 6.03
72.1512 -5.6739 5.78
72.46 6.9614 3.19
72.6529 8.9003 4.36
72.8017 5.605 3.69
73.2237 -5.4528 4.39
73.345 2.5081 5.33
73.4825 1.5694 6.61
73.5629 2.4406 3.72
73.6992 7.7792 5.33
73.7112 0.4675 5.99
73.9933 5.3992 6.5
74.1008 -5.1714 5.51
74.3217 -1.0672 6.23
74.545 -2.2125 6.35
74.6371 1.7142 4.47
75.1412 3.6161 6.66
75.1658 -2.0656 6.32
75.2042 -5.7533 6.22
75.3596 -7.1739 4.81
75.4596 0.7222 5.92
75.5 1.6089 6.24
75.6896 -4.2097 5.85
76.2271 -3.0397 6.05
76.3488 1.1775 6.17
76.6904 -4.655 5.12
76.9704 8.4983 5.34
76.9625 -5.0864 2.79
77.0842 -8.665 5.78
77.1817 -4.4561 5.12
77.2867 -8.7542 4.27
77.5133 -0.5653 6.1
77.7417 -2.2539 6.25
77.83 -2.4908 5.9
77.9225 0.5147 6.67
77.9387 1.0369 5.89
78.2008 -6.0572 5.91
78.3229 2.8611 4.46
78.3817 1.9681 6.09
78.4467 0.5603 6.32
78.3887 -8.1478 6.37
78.6837 5.1561 5.5
78.6346 -8.2017 0.12
78.8267 -1.4092 6.15
79.1712 1.9472 6.42
79.4017 -6.8444 3.6
79.7967 2.5958 5.34
79.8967 -1.4122 6.34
80.11 -5.3667 6.39
80.3304 4.0119 6.57
80.4317 8.4286 5.8
80.3825 -0.4164 5.68
80.4404 -0.3825 4.73
80.7083 3.5444 5.0
80.8796 5.3225 6.35
80.8271 -8.4158 5.9
80.9262 -0.1597 5.7
80.9642 -0.8672 6.11
80.9867 -7.8081 4.14
81.1508 2.3528 6.32
81.1204 -0.8914 5.08
81.1192 -2.3969 3.36
81.1867 1.8464 4.95
81.2829 6.3497 1.64
81.38 -0.5442 6.57
81.4458 0.5208 6.16
81.51 -5.5183 6.23
81.6617 6.8692 6.42
81.7092 3.0956 4.59
82.0067 1.2983 6.41
82.2362 -3.3075 6.39
82.3483 -3.4464 5.79
82.4783 1.7892 5.78
82.4333 -1.0922 4.71
82.5825 4.2042 6.21
82.6962 5.9481 4.2
82.5862 -7.4347 6.33
82.8104 3.2922 5.46
82.8371 -6.7083 6.22
83.0021 -0.2844 6.85
83.0017 -0.2992 2.23
82.9825 -7.3014 4.62
83.1721 -1.5919 5.35
83.28 -1.7183 6.46
83.3808 -1.1561 5.34
83.49 1.4078 6.59
83.5696 3.7669 5.36
83.5162 -1.0356 6.22
83.5167 -1.4706 5.93
83.7537 -6.0092 5.67
83.7612 -6.0019 4.78
83.8408 -4.4933 6.56
83.8438 -4.4253 6.24
83.8467 -4.8383 4.59
83.8162 -5.3872 6.73
83.8187 -5.3897 5.13
83.8221 -5.3878 6.7
83.8454 -5.4161 5.08
83.8796 -4.3647 6.38
83.8583 -5.91 2.77
83.8992 -3.2528 6.4
83.9146 -4.8558 5.26
84.0533 -1.2019 1.7
84.0625 -5.6481 6.54
84.1488 -6.065 5.72
84.3304 8.9519 6.12
84.3642 -5.9383 6.05
84.5046 7.5414 5.88
84.4725 -4.8136 6.19
84.6867 -2.6 3.81
84.6963 -2.5942 6.65
84.6575 -6.5739 5.96
84.7962 4.1214 4.57
84.7212 -7.2131 4.8
84.88 -3.5647 6.0
85.1896 -1.9428 2.05
85.19 -1.9428 4.21
85.1554 -2.825 6.22
85.2108 -1.1289 4.95
85.2733 0.3378 5.93
85.4179 -2.8961 6.42
85.6192 1.4747 4.91
85.7242 -6.7961 6.02
85.7887 -1.6131 6.31
86.2579 4.0081 6.09
86.5117 -4.2683 6.34
86.6458 1.1681 5.95
87.0008 6.4542 5.27
87.1454 -4.0947 5.97
87.5546 4.4233 5.97
87.625 2.0244 5.98
87.8417 -7.5181 5.35
88.11 1.855 4.78
88.5654 3.2253 6.31
88.6838 0.9683 6.0
88.6446 -4.0639 6.57
88.7929 7.4069 0.5
88.8762 -4.6164 5.87
88.8975 -4.7883 6.28
89.4758 1.2244 6.22
89.5487 -0.9942 6.22
89.6017 1.8369 5.9
89.7067 0.5531 5.22
89.9071 -1.4444 6.63
90.0142 -3.0742 4.53
90.5712 1.6944 6.59
91.0562 -6.7092 5.21
91.2425 5.42 5.67
91.2433 4.1586 5.63
91.6612 -4.1939 5.38
92.1967 8.67 6.55
92.2412 2.4994 5.73
92.4008 -5.7111 6.17
92.7554 -6.7542 6.15
92.9321 -4.6656 6.18
92.9658 -6.5503 5.05
93.185 -2.5044 6.62
93.4762 -3.7414 5.83
93.6529 -4.5683 5.83
93.7137 -6.2747 3.98
93.9171 6.0661 6.07
93.9458 4.2836 6.64
93.8929 -0.5122 5.65
93.8737 -4.9153 5.99
93.975 1.1692 6.37
94.0883 1.0803 6.63
94.2433 7.0531 6.57
94.3171 5.1003 5.71
94.7829 -8.5864 6.22
94.9283 -7.8231 5.27
94.9983 -2.9444 4.9
